FORM NUM,LABEL,JAPANESE,ENGLISH (HUMAN),ENGLISH (MACHINE),GERMAN
Form1,Form1,ビジュアルウインドウ,Game window,,Spielfenster
Form2,Command2,閉じる,Close,,Schließen
Form2,Command1,閉じる,Close,,Schließen
Form2,Label3,バージョン情報,About,,Über
Form3,Form3,新しいゲーム,New Game,,Neues Spiel
Form3,Command2,決定,Select,,Auswählen
Form3,Command1,やめる,Cancel,,Abbrechen
Form3,Label3,新しいゲームを始めま,Start New Game,,Neues Spiel starten
Form3,Label2,本屋の名前,Bookstore name,,Buchhandlungsname
Form4,Form4,本屋情報,Bookstore info,,Buchhandlung-Info
Form4,Label1,客の来た数,Number of Customers,,Anzahl der Kunden
Form4,Label2,0人,0 People,,0 Menschen
Form4,Label1,よごれ,Filth,,Schmutz
Form4,Label1,耐震度,Seismic Resistance ,,seismischer Widerstand
Form4,Label1,資金,Money,,Geld
Form4,Label1,売った本の数,Number of Books Sold,,Anzahl der verk. Bücher
Form4,Label2,0冊,0 Books,,0 Bücher
Form4,Label2,0冊,0 Books,,0 Bücher
Form4,Label1,最大書籍数,Maximum Book Count,,max. Bücheranzahl
Form4,Label1,現在書籍数,Current Book Count,,Momentane Bücheranzahl
Form4,Label2,0冊,0 Books,,0 Bücher
Form4,Label1,年,Year,,Jahr
Form4,Label1,月,Month,,Monat
Form4,Label1,日,Day,,Tag
Form4,Label2,日曜日,Sunday,,Sonntag
Form4,Label1,時,Hour,,Stunde
Form4,Label1,星の数,Number of Stars,,Anzahl der Sterne
Form4,Label1,本屋の名前,Bookstore Name,,Buchhandlungsname
Form5,Form5,備品設置,Fixtures,,Möbel
Form5,Command2,キャンセル,Cancel,,Abbrechen
Form5,Command1,設置,Installation,,Einbau
Form5,Label1,収録書籍,Recording books,,Audiobücher
Form5,Label2,価格,Price,,Preis
Form5,Label3,備品設置,Equipment Installation,,Equipment-Einbau
Form5,Label,10000000円,Yen,,Yen
Form6,Form6,入荷雑誌選択,Magazine Selection in Stock,,Magazinauswahl auf Lager
Form6,Command3,雑誌TOP10,Top 10 Magazines,,Top 10 Magazine
Form6,Frame1,すべて売れたとき,When all items are sold,,Wenn alle Items verkauft sind
Form6,Label5,利益,Profit,,Profit
Form6,Label6,0円,Yen,,Yen
Form6,Label5,売り値,Selling Price,,Verkaufspreis
Form6,Label5,仕入値,Purchase Price,,Kaufpreis
Form6,Command2,キャンセル,Cancel,,Abbrechen
Form6,Label5,すべての雑誌の入荷数を変更,"Change quantity of all recently-arrived 
magazines",,Ändere die Menge aller kürzlich bestellten Magazine
Form6,Label5,在庫数,Available Inventory,,Verfügbarer Inventarplatz
Form6,Label5,資金,Funding,,Finanzierung
Form6,Label5,発行部数,Number of Printed Copies,,Anzahl der gedruckten Kopien
Form6,Label5,入荷数,Arrival count,,Ankunftszahl
Form6,Label5,メモ,Memo,,Memo
Form6,Label5,発売日,Release Date,,Erscheinungsdatum
Form6,Label5,雑誌名,Book Title,,Buchtitel
Form6,Label10,0万,0k,,0k
Form6,Label10,10万,100k,,100k
Form6,Label10,0部,0 Copies,,Keine Kopien
Form6,Label10,20万,200k,,200k
Form6,Label6,0冊,0 Books,,0 Bücher
Form6,Label2,メモ,Memo,,Memo
Form6,Label2,発売日,Release Date,,Erscheinungsdatum
Form6,Label10,仕入値,Purchase Price,,Kaufpreis
Form6,Label12,売り値,Selling Price,,Verkaufspreis
Form6,Label12,入荷数,Number of Arrivals,,Anzahl der Ankünfte
Form6,Label12,雑誌名,Magazine Name,,Magazin-Name
Form7,Form7,店員雇用,Employee Info,,Mitarbeiter-Info
Form7,Command2,雇用,Hire,,Einstellen
Form7,Command1 ,閉じる,Close,,Schließen
Form7,Label,0歳,0 Years Old,,0 Jahre alt
Form7,Label1,年齢,Age,,Alter
Form7,Label1,0円,0 Yen,,0 Yen
Form7,Label1,給料,Salary,,Gehalt
Form7,Label1,能力,Skill level,,Fähigkeitslevel
Form7,Label1,あああ,AAA,,AAA
Form7,Label3,店員を雇用します,Now hiring store clerks,,Wir stellen jetzt Ladenverkäufer ein
Form7,Label1,名前,Name,,Name
Form8,Form8,お客さん,Guest,,Gast
Form8,Label5,強盗,Thief,,Dieb
Form8,Label1,名前,Name,,Name
Form8,Label,謎,Mystery,,Geheimnis
Form8,Label1,年齢,Age,,Alter
Form8,Label,??歳,?? years old,,?? Jahre alt
Form8,Label,強盗です！,Robbery!,,Raub!
Form8,Label1,気力,Effort,,Aufwand
Form8,Label1,能力,Skill level,,Fähigkeitslevel
Form8,Label4,店員の情報,Employee Info,,Mitarbeiter-Info
Form8,Label1,給料,Salary,,Gehalt
Form8,Label1,年齢,Age,,Alter
Form8,Label1,名前,Name,,Name
Form8,Label2,掃除業者の情報,Janitor Info,,Hausmeister-Info
Form8,Label1,年齢,Age,,Alter
Form8,Label1,名前,Name,,Name
Form8,Label3, お客さんの情報,Customer Info,,Kunden-Info
Form8,Label1,名前,Name,,Name
Form8,Label1,年齢,Age,,Alter
Form8,Label1,好きな本,Favorite book,,Lieblingsbuch
Form8,Label1,満足度,Satisfaction level,,Zufriedenheit
Form8,Label1,お店に来た回数,# of visits,,# von Besuchen
Form9,Form9,レジ選択,Register Selection,,Registerauswahl
Form9,Command2,購入,Purchase,,Kauf
Form9,Command1,キャンセル,Cancel,,Abbrechen
Form9,Label1,レジ速度,Cashier speed,,Kassiergeschwindigkeit
Form9,Label1,価格,Price,,Preis
Form9,Label3,レジを選択します ,Choose cashier,,Wähle den Kassierer aus
Form10,Form10,お客さんの意見,Customer Opinion,,Kundenmeinung
Form10,Command1,閉じる,Close,,Schließen
Form12,Form12,店員解雇,Employee Dismissal,,Kündigung von Mitarbeitern
Form12,Command2,解雇する,Dismiss employee,,Mitarbeiter kündigen
Form12,Command1,やめる,Quit,,Beenden
Form12,Label1,気力,Willpower,,Willenskraft
Form12,Label1,名前,Name,,Name
Form12,Label,12歳,12 years old,,12 Jahre alt
Form12,Label1,年齢,Age,,Alter
Form12,Label1,能力,Ability,,Fähigkeit
Form12,Label1,給料,Salary,,Gehalt
Form12,Label1,21万0000円,210k Yen,,210k Yen
Form12,Label3,店員解雇,Fired Employees,,Gefeuerte Mitarbeiter
Form13,Form13,店員情報,Employee Info,,Mitarbeiter-Info
Form13,Label1,給料,Salary,,Gehalt
Form13,Label1,能力,Ability,,Fähigkeit
Form13,Label1,気力,Energy,,Energie
Form13,Label1,年齢,Age,,Alter
Form13,Label1,名前,Name,,Name
Form14,Form14,お店の月々利益表,Monthly Profit,,Monatlicher Profit
Form14,Option3,毎年,Per year,,Jährlich
Form14,Option2,毎月,Per month,,Monatlich
Form14,Option1,毎日,Per day,,Täglich
Form14,Label1,テナント代,Tenant fee,,Mietergebühr
Form14,Label1,サービス系,Service System,,Servicesystem
Form14,Label1,保険関係,Insurance,,Versicherung
Form14,Label1,店員の給料,Employee's Salary,,Mitarbeitergehalt
Form14,Label1,お店の備品,Store's Fixtures,,Laden-Möbel
Form14,Label1,雑誌と書籍,Magazines and Books,,Magazine und Bücher
Form14,Label1,その他,The rest,,Andere
Form14,Label1,合計,Total,,Insgesamt
Form14,Label1,合計,Total,,Insgesamt
Form14,Label1,支出,Expenses,,Ausgaben
Form14,Label1,収入,Income,,Einkommen
Form15,Form15,月末です,End of the month,,Ende des Monats
Form15,Label1,収入,Income,,Einkommen
Form15,Label1,支出,Expenses,,Ausgaben
Form15,Label1,合計,Total,,Insgesamt
Form15,Label1,合計,Total,,Insgesamt
Form15,Label1,その他,Other,,Andere
Form15,Label1,雑誌と書籍,Magazines and Books,,Magazine und Bücher
Form15,Label1,お店の備品,Store's Fixtures,,Laden-Möbel
Form15,Label1,店員の給料,Employee's Salary,,Mitarbeitergehalt
Form15,Label1,保険関係,Insurance,,Versicherung
Form15,Label1,サービス系,Service System,,Servicesystem
Form15,Label1,テナント代,Tenant fee,,Mietergebühr
Form15,Command1,閉じる,Close,,Schließen
Form15,Label1,1997年8月末,End of August 1997,,Ende August 1997
Form15,Font,ＭＳ Ｐゴシック,MS PGothic,,MS PGothic
Form15,Label1,今月の利益,Monthly Profit,,Monatlicher Profit
Form15,Label1,今月売った本の数,Books sold this month,,Bücher in diesem Monat verkauft
Form15,Label1,でした。,the red,,das Rot
Form15,Label1,赤字,was in,,war in
Form15,Label1,今月は,This month,,Dieser Monat
Form18,Form18,保険加入,Purchase Insurance,,Versicherung kaufen
Form18,Frame3,被害保険,Injury insurance,,Krankenversicherung
Form18,Option5,加入する,Become member,,Mitglied werden
Form18,Option6,加入しない,Do not become member,,Nicht Mitglied werden
Form18,Label4,費用 月々5万円,"Monthly costs: 50,000 Yen",,"Monatliche Kosten: 50,000 Yen"
Form18,Frame2,地震保険,Earthquake Insurance,,Erdbebenversicherung
Form18,Option3,加入する,Become member,,Mitglied werden
Form18,Option4,加入しない,Do not become member,,Nicht Mitglied werden
Form18,Label2,費用 月々3万円,"Monthly costs: 30,000 Yen",,
Form18,Frame1,火災保険,Fire / Home Insurance,,
Form18,Option2,加入しない,Do not become member,,
Form18,Option1,加入する,Become member,,
